diabetes_Lower 95% CI,diabetes_Upper 95% CI,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,diabetes_ratio,comorbidity_risk
11.9,13.5,3.2,3.1,3.4,0.09987228222989952,53.599999999999994
14.8,17.3,4.0,3.7,4.3,0.1271401199085234,69.1
9.4,11.3,3.2,3.0,3.5,0.08287044281020185,55.5
11.2,13.7,3.6,3.3,3.9,0.09820640987944722,60.9
12.5,15.1,4.0,3.7,4.4,0.11458751664517765,55.9
15.9,18.5,4.5,4.1,4.9,0.14189643577673167,68.6
9.5,11.3,2.9,2.7,3.1,0.08405960872943004,53.8
13.9,16.0,3.9,3.6,4.2,0.11961024103514932,63.9
11.8,13.9,3.5,3.3,3.8,0.10328997704667177,58.9
11.9,14.0,3.3,3.0,3.6,0.09996094428050685,61.9
12.6,15.0,3.6,3.3,3.9,0.10478938257357184,66.5
12.0,13.8,3.2,3.0,3.4,0.10043126887531359,57.9
7.5,9.3,2.7,2.5,2.9,0.06574534196327414,43.6
10.8,12.7,3.2,3.0,3.4,0.09353866034891234,58.8
13.4,15.7,3.6,3.3,3.9,0.11117562357750012,68.80000000000001
9.0,10.5,2.7,2.5,2.9,0.07411995196865323,50.3
9.2,11.3,3.1,2.9,3.4,0.08418977055449331,44.7
13.7,16.2,4.0,3.7,4.3,0.12013201320132014,64.0
13.2,15.4,3.6,3.4,3.9,0.11589511168662998,60.900000000000006
9.6,11.5,3.1,2.9,3.4,0.08202750239846499,55.8
10.2,12.2,3.4,3.1,3.6,0.08745247148288973,55.199999999999996
8.2,9.4,2.4,2.3,2.5,0.06958550645072742,48.0
11.7,13.6,3.1,2.9,3.4,0.09989887768998262,57.5
10.1,11.9,3.1,2.9,3.4,0.07753377594131575,53.300000000000004
10.5,12.8,3.6,3.3,3.9,0.09734435967619824,51.3
13.9,16.3,4.1,3.8,4.5,0.12091538052155401,69.1
11.9,14.2,3.8,3.5,4.1,0.10244290136367439,63.8
7.2,8.9,2.6,2.4,2.8,0.06779937918640745,39.6
10.8,12.7,3.1,2.9,3.4,0.08992167101827676,59.2
12.1,13.5,3.4,3.2,3.6,0.09044092224264372,59.5
14.7,16.6,3.9,3.6,4.1,0.12168486739469579,66.6
10.9,13.0,3.7,3.4,3.9,0.09912784513933205,49.7
10.2,12.1,3.1,2.9,3.4,0.08798336892806834,60.5
11.0,12.7,3.3,3.1,3.5,0.09088252998264579,56.7
9.4,11.5,3.0,2.8,3.3,0.08332644457303463,49.2
9.4,11.0,3.0,2.8,3.2,0.07620366184448463,53.0
11.4,12.7,3.3,3.2,3.5,0.0862520112630732,55.400000000000006
11.9,14.0,3.0,2.8,3.3,0.10057618803126248,64.30000000000001
14.9,16.9,3.6,3.4,3.8,0.12216793717305316,64.5
11.2,13.3,3.3,3.0,3.6,0.09604203935599284,59.2
11.2,13.6,3.5,3.2,3.8,0.1018701465790562,58.0
12.6,15.2,3.7,3.4,4.1,0.10864661654135338,63.8
18.0,20.7,4.5,4.1,4.8,0.13027508717551337,74.4
16.1,19.0,4.2,3.8,4.6,0.138115712453798,80.4
11.0,13.0,3.2,2.9,3.5,0.09025270758122744,56.2
11.5,13.6,3.2,3.0,3.4,0.09646052119797745,63.599999999999994
13.4,15.5,3.6,3.3,3.9,0.10842822517949421,69.5
12.1,14.2,3.6,3.3,3.9,0.09849967384213959,65.30000000000001
11.8,13.7,3.3,3.1,3.6,0.1054033110250088,61.2
10.4,12.5,3.4,3.1,3.6,0.09021548613259099,57.5
11.4,13.5,3.4,3.1,3.7,0.0951007105839611,64.69999999999999
10.3,12.2,3.3,3.0,3.5,0.08171371074511466,53.0
6.6,7.6,2.0,1.9,2.2,0.059061367922608306,41.9
12.8,14.7,3.7,3.4,3.9,0.10982592762253779,65.8
10.9,12.4,2.7,2.5,2.9,0.08695556617820781,57.9
12.0,13.4,3.1,2.9,3.3,0.09969306322897484,60.4
12.5,14.8,3.6,3.3,3.9,0.10488390712570056,62.7
10.2,12.0,3.4,3.1,3.6,0.07839465268374197,60.3
10.8,13.2,2.8,2.6,3.1,0.09248245451802245,59.2
9.1,11.0,2.9,2.7,3.2,0.07761773774257905,53.8
9.2,11.0,3.1,2.9,3.4,0.08379413015737984,46.400000000000006
13.6,15.3,3.6,3.4,3.8,0.11526532693206441,67.9
10.9,12.4,3.1,2.9,3.3,0.09765976597659766,57.7
9.6,10.8,2.5,2.4,2.7,0.07297569794527692,56.099999999999994
